Type,Name,Location,Latitude,Longitude,Country,Region,Sub-Region,Forecast 1,Forecast 2,Forecast 3,Forecast 4,Description
Surf Spot,South End OC,"39.223367, -74.632562",39.223367,-74.632562,US,New Jersey,Cape May County,"Surfline, https://www.surfline.com/surf-report/south-end-oc/5b0336df824315001a1c2931","Windy, https://www.windy.com/-Waves-waves?waves,39.223367,-74.632562,10",,,
Surf Spot,Sherman Ave.,"39.195114, -74.655900",39.195114,-74.655900,US,New Jersey,Cape May County,"Surfline, https://www.surfline.com/surf-report/sherman-ave-/5b0347809f631f001a00f0d9","Windy, https://www.windy.com/-Waves-waves?waves,39.195114,-74.655900,10",,,
Surf Spot,Sea Isle City,"39.157045, -74.687615",39.157045,-74.687615,US,New Jersey,Cape May County,"Surfline, https://www.surfline.com/surf-report/sea-isle-city/5b03095ee967b4001b33027f","Windy, https://www.windy.com/-Waves-waves?waves,39.157045,-74.687615,10",,,
Surf Spot,57th St.,"39.140336, -74.699693",39.140336,-74.699693,US,New Jersey,Cape May County,"Surfline, https://www.surfline.com/surf-report/57th-st-/5b030e7c7853b7001a901b2c","Windy, https://www.windy.com/-Waves-waves?waves,39.140336,-74.699693,10",,,
Surf Spot,Avalon 10th-14th Street,"39.101992, -74.708963",39.101992,-74.708963,US,New Jersey,Cape May County,"Surfline, https://www.surfline.com/surf-report/avalon-10-14th-street/584204214e65fad6a7709c84","Windy, https://www.windy.com/-Waves-waves?waves,39.101992,-74.708963,10",,,
Surf Spot,26th to 30th Street Pier,"39.090493, -74.719874",39.090493,-74.719874,US,New Jersey,Cape May County,"Surfline, https://www.surfline.com/surf-report/26th-to-30th-street-pier/5842041f4e65fad6a7708b5e","Windy, https://www.windy.com/-Waves-waves?waves,39.090493,-74.719874,10",,,
Surf Spot,Nun's Beach,"39.035692, -74.768712",39.035692,-74.768712,US,New Jersey,Cape May County,"Surfline, https://www.surfline.com/surf-report/nun-s-beach/5842041f4e65fad6a7708b5f","Windy, https://www.windy.com/-Waves-waves?waves,39.035692,-74.768712,10",,,
Surf Spot,2nd to 10th Street,"38.996957, -74.792628",38.996957,-74.792628,US,New Jersey,Cape May County,"Surfline, https://www.surfline.com/surf-report/2nd-st-to-10th-st-/5842041f4e65fad6a7708b61","Windy, https://www.windy.com/-Waves-waves?waves,38.996957,-74.792628,10",,,
Surf Spot,Rambler Road,"38.970162, -74.828437",38.970162,-74.828437,US,New Jersey,Cape May County,"Surfline, https://www.surfline.com/surf-report/rambler-road/5842041f4e65fad6a7708b60","Windy, https://www.windy.com/-Waves-waves?waves,38.970162,-74.828437,10",,,
Surf Spot,Diamond Beach,"38.955832, -74.847523",38.955832,-74.847523,US,New Jersey,Cape May County,"Surfline, https://www.surfline.com/surf-report/diamond-beach/5b0335c7e967b4001b33028f","Windy, https://www.windy.com/-Waves-waves?waves,38.955832,-74.847523,10",,,
Surf Spot,The Rocks,"38.941501, -74.863351",38.941501,-74.863351,US,New Jersey,Cape May County,"Surfline, https://www.surfline.com/surf-report/the-rocks/5842041f4e65fad6a7708b63","Windy, https://www.windy.com/-Waves-waves?waves,38.941501,-74.863351,10",,,
Surf Spot,Poverty Beach,"38.942471, -74.879392",38.942471,-74.879392,US,New Jersey,Cape May County,"Surfline, https://www.surfline.com/surf-report/poverty-beach/5842041f4e65fad6a7708b65","Windy, https://www.windy.com/-Waves-waves?waves,38.942471,-74.879392,10",,,
Surf Spot,Queen Street,"38.930401, -74.912189",38.930401,-74.912189,US,New Jersey,Cape May County,"Surfline, https://www.surfline.com/surf-report/queen-street/5842041f4e65fad6a7708b64","Windy, https://www.windy.com/-Waves-waves?waves,38.930401,-74.912189,10",,,
Surf Spot,Stockton Avenue,"38.929572, -74.917335",38.929572,-74.917335,US,New Jersey,Cape May County,"Surfline, https://www.surfline.com/surf-report/stockton-avenue/5842041f4e65fad6a7708b62","Windy, https://www.windy.com/-Waves-waves?waves,38.929572,-74.917335,10",,,
Surf Spot,Grant Street,"38.928976, -74.925714",38.928976,-74.925714,US,New Jersey,Cape May County,"Surfline, https://www.surfline.com/surf-report/grant-street-beach/5842041f4e65fad6a7708b67","Windy, https://www.windy.com/-Waves-waves?waves,38.928976,-74.925714,10",,,
Surf Spot,Broadway Beach,"38.929006, -74.930679",38.929006,-74.930679,US,New Jersey,Cape May County,"Surfline, https://www.surfline.com/surf-report/broadway-beach/5842041f4e65fad6a7708b66","Windy, https://www.windy.com/-Waves-waves?waves,38.929006,-74.930679,10",,,
Surf Spot,The Cove,"38.928741, -74.934401",38.928741,-74.934401,US,New Jersey,Cape May County,"Surfline, https://www.surfline.com/surf-report/the-cove/5842041f4e65fad6a7708b68?camId=633496832eea18dbae274b42","Windy, https://www.windy.com/-Waves-waves?waves,38.928741,-74.934401,10",,,
